dataset,noise_type,initial_noise,slope,stderr,corr,threshold,p_value,combine
sonar,pair,0.2,0.00929487159999991,0.013469349179016927,0.2523807314259654,0.1,0.0001,sonar_pair_0.2
sonar,pair,0.3,0.04455128193333336,0.010931275131530678,0.8387608974468179,0.1,0.0005,sonar_pair_0.3
vowel,instance,0.0,0.09993266036666658,0.0038286108742057183,0.994901943972467,0.1,0.4932,vowel_instance_0.0
vowel,instance,0.1,0.09528619563333326,0.0033375334458555666,0.9957334877273691,0.1,0.0978,vowel_instance_0.1
vowel,instance,0.2,0.09175084216666672,0.0034418882383524673,0.9951106937582355,0.1,0.0217,vowel_instance_0.2
vowel,instance,0.3,0.09771043799999994,0.0020665414627536903,0.9984380902010511,0.1,0.1500,vowel_instance_0.3
vowel,sym,0.0,0.10104377149999988,0.0045344673568272036,0.9930250809001153,0.1,0.5881,vowel_sym_0.0
vowel,sym,0.1,0.09757575780000012,0.004957118682578101,0.9910873599483996,0.1,0.3190,vowel_sym_0.1
vowel,sym,0.2,0.08717171733333319,0.00351507811154321,0.9943571479619653,0.1,0.0032,vowel_sym_0.2
vowel,sym,0.3,0.09306397319999997,0.004512956907720535,0.991869718787763,0.1,0.0814,vowel_sym_0.3
vowel,pair,0.0,0.09841750886666674,0.005625890475810486,0.9887557002813406,0.1,0.3928,vowel_pair_0.0
vowel,pair,0.1,0.10030303080000004,0.0031306924605619775,0.9966076049920634,0.1,0.5374,vowel_pair_0.1
vowel,pair,0.2,0.1114141418333333,0.005194344197753055,0.9924781068071896,0.1,0.9704,vowel_pair_0.2
vowel,pair,0.3,0.1065319869666667,0.005014741655280006,0.9923336528201396,0.1,0.8855,vowel_pair_0.3
xyguassian,instance,0.0,-0.00052999999999991,0.0014886834139192636,-0.13336066914537514,0.1,0.0000,xyguassian_instance_0.0
xyguassian,instance,0.1,-0.004703333333333355,0.0027768636908699733,-0.5391613038248501,0.1,0.0000,xyguassian_instance_0.1
xyguassian,instance,0.2,-0.0004166666666665369,0.0027538164955213684,-0.057094691093999464,0.1,0.0000,xyguassian_instance_0.2
xyguassian,instance,0.3,-0.0013166666666667248,0.002343423195910708,-0.2077292714760895,0.1,0.0000,xyguassian_instance_0.3
xyguassian,sym,0.0,0.00256999999999997,0.0013539237511061948,0.5829378166046394,0.1,0.0000,xyguassian_sym_0.0
xyguassian,sym,0.1,0.001876666666666573,0.0019142618453854476,0.3474554076818869,0.1,0.0000,xyguassian_sym_0.1
xyguassian,sym,0.2,0.0007966666666666306,0.000775121427592623,0.36210735765109775,0.1,0.0000,xyguassian_sym_0.2
xyguassian,sym,0.3,0.003223333333333356,0.0006993697086791635,0.8672616673697682,0.1,0.0000,xyguassian_sym_0.3
xyguassian,pair,0.0,0.00256999999999997,0.0013539237511061948,0.5829378166046394,0.1,0.0000,xyguassian_pair_0.0
xyguassian,pair,0.1,0.001876666666666573,0.0019142618453854476,0.3474554076818869,0.1,0.0000,xyguassian_pair_0.1
xyguassian,pair,0.2,0.0007966666666666306,0.000775121427592623,0.36210735765109775,0.1,0.0000,xyguassian_pair_0.2
xyguassian,pair,0.3,0.003223333333333356,0.0006993697086791635,0.8672616673697682,0.1,0.0000,xyguassian_pair_0.3
yxguassian,instance,0.0,0.61109,0.001955109030911699,0.9999641758152239,0.1,1.0000,yxguassian_instance_0.0
yxguassian,instance,0.1,0.5430966666666667,0.001954819982510104,0.9999546583029157,0.1,1.0000,yxguassian_instance_0.1
yxguassian,instance,0.2,0.4322833333333333,0.0022667676214696247,0.999903776228648,0.1,1.0000,yxguassian_instance_0.2
yxguassian,instance,0.3,0.29343,0.002058860963155155,0.9998277335028871,0.1,1.0000,yxguassian_instance_0.3
yxguassian,sym,0.0,0.7240633333333332,0.0016447088483320699,0.999981941518553,0.1,1.0000,yxguassian_sym_0.0
yxguassian,sym,0.1,0.5893833333333335,0.0011558054522150076,0.9999865403721393,0.1,1.0000,yxguassian_sym_0.1
yxguassian,sym,0.2,0.4425099999999999,0.0011750206572565124,0.9999753227481857,0.1,1.0000,yxguassian_sym_0.2
yxguassian,sym,0.3,0.2924033333333334,0.0009233986567921539,0.9999650972902729,0.1,1.0000,yxguassian_sym_0.3
yxguassian,pair,0.0,0.7240633333333332,0.0016447088483320699,0.999981941518553,0.1,1.0000,yxguassian_pair_0.0
yxguassian,pair,0.1,0.5894633333333333,0.0011182036330974125,0.9999874052936502,0.1,1.0000,yxguassian_pair_0.1
yxguassian,pair,0.2,0.4425099999999999,0.0011750206572565124,0.9999753227481857,0.1,1.0000,yxguassian_pair_0.2
yxguassian,pair,0.3,0.29245666666666664,0.0009367830238987843,0.9999640913048569,0.1,1.0000,yxguassian_pair_0.3
balancescale,instance,0.0,0.1815333333333333,0.011164693026248833,0.98701842243725,0.1,1.0000,balancescale_instance_0.0
balancescale,instance,0.1,0.1557333333333334,0.0112483461453358,0.9822261301282393,0.1,0.9994,balancescale_instance_0.1
balancescale,instance,0.2,0.1310666666666668,0.00677705434598733,0.9907717106637475,0.1,0.9991,balancescale_instance_0.2
balancescale,instance,0.3,0.10273333333333332,0.014395744521123618,0.9376352262764341,0.1,0.5729,balancescale_instance_0.3
balancescale,sym,0.0,0.2273333333333332,0.008608712060140874,0.995018461141707,0.1,1.0000,balancescale_sym_0.0
balancescale,sym,0.1,0.17876190476190476,0.008206202273275853,0.9927049229102468,0.1,1.0000,balancescale_sym_0.1
balancescale,sym,0.2,0.1654761904761905,0.013044842215727036,0.9789340889138218,0.1,0.9995,balancescale_sym_0.2
balancescale,sym,0.3,0.12849999999999998,0.011125473521685079,0.9747532578029059,0.1,0.9832,balancescale_sym_0.3
balancescale,pair,0.0,0.23726666666666663,0.006053675257806906,0.9977293423347794,0.1,1.0000,balancescale_pair_0.0
balancescale,pair,0.1,0.18533333333333338,0.012352494767621892,0.9848056064740607,0.1,0.9999,balancescale_pair_0.1
balancescale,pair,0.2,0.18793333333333329,0.014261332632878656,0.9804346591478079,0.1,0.9999,balancescale_pair_0.2
balancescale,pair,0.3,0.15773333333333334,0.016326120856536078,0.9644890661675468,0.1,0.9962,balancescale_pair_0.3
krkp,instance,0.0,0.019483567933333452,0.004151640785174433,0.8711032144242707,0.1,0.0000,krkp_instance_0.0
krkp,instance,0.1,0.011085028533333421,0.006908536355968875,0.5185510937401685,0.1,0.0000,krkp_instance_0.1
krkp,instance,0.2,0.017449139133333406,0.006221541802787525,0.727410291333582,0.1,0.0000,krkp_instance_0.2
krkp,instance,0.3,0.022091810533333457,0.00628705357663681,0.7988682247208035,0.1,0.0000,krkp_instance_0.3
