noise_rate,error_rate,dataset,noise_type,causal,initial_noise,seed
0.2,0.49205,xyguassian,instance,1,0.4,3
0.30000000000000004,0.4968,xyguassian,instance,1,0.4,3
0.4,0.4996,xyguassian,instance,1,0.4,3
0.5,0.4932,xyguassian,instance,1,0.4,3
0.6,0.5004,xyguassian,instance,1,0.4,3
0.7000000000000001,0.5032,xyguassian,instance,1,0.4,3
0.8,0.50795,xyguassian,instance,1,0.4,3
0.9,0.51115,xyguassian,instance,1,0.4,3
0.1,0.49455,xyguassian,instance,1,0.6,3
0.2,0.49605,xyguassian,instance,1,0.6,3
0.30000000000000004,0.4954,xyguassian,instance,1,0.6,3
0.4,0.4964,xyguassian,instance,1,0.6,3
0.5,0.5068,xyguassian,instance,1,0.6,3
0.6,0.5036,xyguassian,instance,1,0.6,3
0.7000000000000001,0.5046,xyguassian,instance,1,0.6,3
0.8,0.50395,xyguassian,instance,1,0.6,3
0.9,0.50545,xyguassian,instance,1,0.6,3
0.1,0.44685,xyguassian,instance,1,0.01,4
0.2,0.4604,xyguassian,instance,1,0.01,4
0.30000000000000004,0.47315,xyguassian,instance,1,0.01,4
0.4,0.48585,xyguassian,instance,1,0.01,4
0.5,0.49625,xyguassian,instance,1,0.01,4
0.6,0.51415,xyguassian,instance,1,0.01,4
0.7000000000000001,0.52685,xyguassian,instance,1,0.01,4
0.8,0.5396,xyguassian,instance,1,0.01,4
0.9,0.55315,xyguassian,instance,1,0.01,4
0.1,0.46215,xyguassian,instance,1,0.2,4
0.2,0.4701,xyguassian,instance,1,0.2,4
0.30000000000000004,0.47965,xyguassian,instance,1,0.2,4
0.4,0.48975,xyguassian,instance,1,0.2,4
0.5,0.49625,xyguassian,instance,1,0.2,4
0.6,0.51025,xyguassian,instance,1,0.2,4
0.7000000000000001,0.52035,xyguassian,instance,1,0.2,4
0.8,0.5299,xyguassian,instance,1,0.2,4
0.9,0.53785,xyguassian,instance,1,0.2,4
0.1,0.49245,xyguassian,instance,1,0.4,4
0.2,0.4932,xyguassian,instance,1,0.4,4
0.30000000000000004,0.49535,xyguassian,instance,1,0.4,4
0.4,0.50025,xyguassian,instance,1,0.4,4
0.5,0.49625,xyguassian,instance,1,0.4,4
0.6,0.49975,xyguassian,instance,1,0.4,4
0.7000000000000001,0.50465,xyguassian,instance,1,0.4,4
0.8,0.5068,xyguassian,instance,1,0.4,4
0.9,0.50755,xyguassian,instance,1,0.4,4
0.1,0.47995,xyguassian,instance,1,0.6,4
0.2,0.4857,xyguassian,instance,1,0.6,4
0.30000000000000004,0.48725,xyguassian,instance,1,0.6,4
0.4,0.49045,xyguassian,instance,1,0.6,4
0.5,0.50375,xyguassian,instance,1,0.6,4
0.6,0.50955,xyguassian,instance,1,0.6,4
0.7000000000000001,0.51275,xyguassian,instance,1,0.6,4
0.8,0.5143,xyguassian,instance,1,0.6,4
