noise_rate,error_rate,dataset,noise_type,causal,initial_noise,seed
0.6,0.79755,yxguassian,pair,0,0.3,1
0.7,0.87055,yxguassian,pair,0,0.3,1
0.8,0.79475,yxguassian,pair,0,0.3,1
0.9,0.7213,yxguassian,pair,0,0.3,1
0.1,0.3517,yxguassian,pair,0,0.4,1
0.2,0.27825,yxguassian,pair,0,0.4,1
0.3,0.20245,yxguassian,pair,0,0.4,1
0.4,0.12945,yxguassian,pair,0,0.4,1
0.5,0.50225,yxguassian,pair,0,0.4,1
0.6,0.87055,yxguassian,pair,0,0.4,1
0.7,0.79755,yxguassian,pair,0,0.4,1
0.8,0.72175,yxguassian,pair,0,0.4,1
0.9,0.6483,yxguassian,pair,0,0.4,1
0.1,0.6483,yxguassian,pair,0,0.6,1
0.2,0.72175,yxguassian,pair,0,0.6,1
0.3,0.79755,yxguassian,pair,0,0.6,1
0.4,0.87055,yxguassian,pair,0,0.6,1
0.5,0.50225,yxguassian,pair,0,0.6,1
0.6,0.12945,yxguassian,pair,0,0.6,1
0.7,0.20245,yxguassian,pair,0,0.6,1
0.8,0.27825,yxguassian,pair,0,0.6,1
0.9,0.3517,yxguassian,pair,0,0.6,1
0.1,0.7213,yxguassian,pair,0,0.7,1
0.2,0.79475,yxguassian,pair,0,0.7,1
0.3,0.87055,yxguassian,pair,0,0.7,1
0.4,0.79755,yxguassian,pair,0,0.7,1
0.5,0.50225,yxguassian,pair,0,0.7,1
0.6,0.20245,yxguassian,pair,0,0.7,1
0.7,0.12945,yxguassian,pair,0,0.7,1
0.8,0.20525,yxguassian,pair,0,0.7,1
0.9,0.2787,yxguassian,pair,0,0.7,1
0.1,0.7971,yxguassian,pair,0,0.8,1
0.2,0.87055,yxguassian,pair,0,0.8,1
0.3,0.79475,yxguassian,pair,0,0.8,1
0.4,0.72175,yxguassian,pair,0,0.8,1
0.5,0.50225,yxguassian,pair,0,0.8,1
0.6,0.27825,yxguassian,pair,0,0.8,1
0.7,0.20525,yxguassian,pair,0,0.8,1
0.8,0.12945,yxguassian,pair,0,0.8,1
0.9,0.2029,yxguassian,pair,0,0.8,1
0.1,0.87055,yxguassian,pair,0,0.9,1
0.2,0.7971,yxguassian,pair,0,0.9,1
0.3,0.7213,yxguassian,pair,0,0.9,1
0.4,0.6483,yxguassian,pair,0,0.9,1
0.5,0.50225,yxguassian,pair,0,0.9,1
0.6,0.3517,yxguassian,pair,0,0.9,1
0.7,0.2787,yxguassian,pair,0,0.9,1
0.8,0.2029,yxguassian,pair,0,0.9,1
0.9,0.12945,yxguassian,pair,0,0.9,1
0.1,0.1296,yxguassian,pair,0,0.1,2
0.2,0.2045,yxguassian,pair,0,0.1,2
0.3,0.27895,yxguassian,pair,0,0.1,2
0.4,0.3532,yxguassian,pair,0,0.1,2
0.5,0.5089,yxguassian,pair,0,0.1,2
0.6,0.6468,yxguassian,pair,0,0.1,2
0.7,0.72105,yxguassian,pair,0,0.1,2
0.8,0.7955,yxguassian,pair,0,0.1,2
0.9,0.8704,yxguassian,pair,0,0.1,2
0.1,0.2045,yxguassian,pair,0,0.2,2
0.2,0.1296,yxguassian,pair,0,0.2,2
0.3,0.20405,yxguassian,pair,0,0.2,2
0.4,0.2783,yxguassian,pair,0,0.2,2
0.5,0.5089,yxguassian,pair,0,0.2,2
0.6,0.7217,yxguassian,pair,0,0.2,2
0.7,0.79595,yxguassian,pair,0,0.2,2
0.8,0.8704,yxguassian,pair,0,0.2,2
0.9,0.7955,yxguassian,pair,0,0.2,2
0.1,0.27895,yxguassian,pair,0,0.3,2
0.2,0.20405,yxguassian,pair,0,0.3,2
0.3,0.1296,yxguassian,pair,0,0.3,2
0.4,0.20385,yxguassian,pair,0,0.3,2
0.5,0.5089,yxguassian,pair,0,0.3,2
0.6,0.79615,yxguassian,pair,0,0.3,2
0.7,0.8704,yxguassian,pair,0,0.3,2
0.8,0.79595,yxguassian,pair,0,0.3,2
0.9,0.72105,yxguassian,pair,0,0.3,2
0.1,0.3532,yxguassian,pair,0,0.4,2
0.2,0.2783,yxguassian,pair,0,0.4,2
0.3,0.20385,yxguassian,pair,0,0.4,2
0.4,0.1296,yxguassian,pair,0,0.4,2
0.5,0.5089,yxguassian,pair,0,0.4,2
0.6,0.8704,yxguassian,pair,0,0.4,2
